Publisher,Global_Sales,Critic_Score,User_Score,MetaCritic_predicted
10TACLE Studios,0.02,42.0,7.0,66.73280512571726
1C Company,0.034999999999999996,79.5,8.399999999999999,78.01616653859239
2D Boy,0.04,90.0,8.5,77.1546691737392
3DO,0.16533333333333333,55.333333333333336,5.760000000000001,62.109463857477614
505 Games,0.3709195402298851,63.298850574712645,6.471264367816092,67.03290647660384
506 Games,0.15,83.0,8.5,74.3487141156466
5p,0.04,67.0,8.2,73.6307375040865
7Sixty LLC,0.16,47.0,3.0,49.915623207216385
AQ Interactive,0.19,79.5,8.149999999999999,73.91667822509879
ASCII Entertainment,0.5,66.0,8.2,77.07752073562511
Acclaim Entertainment,0.30057142857142854,67.12857142857143,7.222857142857143,71.20484276840193
Ackkstudios,0.1,75.0,7.3,71.63057838275131
Acquire,0.14,61.0,7.1,70.452421841312
Activision,1.0743835616438355,70.60665362035225,6.8845401174168295,69.4162156394017
Activision Blizzard,0.47,87.0,5.9,60.63543130007487
Activision Value,0.135,47.5,5.483333333333333,63.13075820259723
Agatsuma Entertainment,0.115,70.5,7.65,70.53217878878954
Agetec,0.145,72.5,8.3,74.06601519398399
Aksys Games,0.06,66.14285714285714,7.3428571428571425,70.75677663866863
Alternative Software,0.04,64.0,6.8,70.57034684352575
Aqua Plus,0.11,75.0,7.8,71.61857194044288
Arc System Works,0.075,68.0,7.666666666666667,70.72698172866222
Ascaron Entertainment GmbH,0.05,73.0,7.25,71.82356266392262
Aspyr,0.055,62.0,7.65,71.85503633307357
Atari,0.45967391304347827,66.76086956521739,7.269021739130435,70.58255469526809
Atlus,0.26037037037037036,78.96296296296296,8.28888888888889,76.2205134694942
Avalon Interactive,0.05333333333333334,61.666666666666664,5.866666666666667,64.10282466510797
Avanquest,0.02,52.0,7.9,71.12776972230643
BAM! Entertainment,0.187,53.2,6.49,66.19564892454005
Banpresto,0.12,71.2,8.0,75.09760673643352
Bethesda Softworks,1.4678,72.96,6.728,69.59220604480619
Bigben Interactive,0.054000000000000006,48.2,5.64,61.49464847942554
Black Bean Games,0.17,68.0,7.022222222222222,70.00398997203871
Black Label Games,1.2,59.0,5.1,57.228677888283585
Blue Byte,0.01,91.0,8.7,79.45108334547817
Bohemia Interactive,0.11,74.0,7.4,72.26695383120727
Brash Entertainment,0.12,41.333333333333336,5.6000000000000005,60.79117235594497
CCP,0.16,70.0,6.9,69.30688026198945
CDV Software Entertainment,0.01,80.0,8.1,77.15089083430247
Capcom,0.5654634146341464,72.39024390243902,7.354634146341463,70.09535582475633
Cave,0.1,71.0,7.4,69.92981280823184
City Interactive,0.36333333333333334,50.0,5.533333333333333,62.326695268910925
Cloud Imperium Games Corporation,0.04,37.0,6.3,64.02309898672101
Codemasters,0.30165217391304344,70.58260869565217,6.7269565217391305,68.19123258168423
Codemasters Online,0.02,85.0,8.2,75.75229690381231
Compile Heart,0.13,60.0,7.275,71.22964310567161
Conspiracy Entertainment,0.05,48.0,4.8,58.585838966819566
Crave Entertainment,0.2972727272727273,65.54545454545455,6.854545454545455,68.47498284751192
Crimson Cow,0.02,75.0,8.5,74.4709305100096
D3Publisher,0.22694444444444445,62.666666666666664,6.605555555555556,66.41179913456772
DHM Interactive,0.04,67.0,6.1,65.22996996611856
DSI Games,0.08,38.0,3.2,47.15703563962365
DTP Entertainment,0.09846153846153846,58.15384615384615,6.607692307692308,66.80493166951379
Deep Silver,0.25974358974358974,61.294871794871796,5.921794871794871,63.153711247819
"Destination Software, Inc",0.03,74.66666666666667,8.1,75.83721453340372
Destineer,0.09000000000000001,50.166666666666664,5.8500000000000005,63.155039867227735
Devolver Digital,0.04,88.0,8.4,76.53431796802067
Digital Jesters,0.01,56.0,8.2,77.60112233444545
Disney Interactive Studios,0.5298666666666667,64.38666666666667,6.74,66.53427308729079
DreamCatcher Interactive,0.03166666666666667,63.0,6.733333333333333,67.24868853179414
Dusenberry Martin Racing,0.08,66.0,4.1,53.91004028402604
EA Games,0.14,75.0,6.5,67.52570363409093
ESP,0.05,69.0,7.5,71.06723398302776
